--------cuda saxpy------------------------
1.	CUDA	900000000	2092.7
2.	CUDA	900000000	2282.5
3.	CUDA	900000000	2157.0
4.	CUDA	900000000	2099.6
5.	CUDA	900000000	2108.3
6.	CUDA	900000000	2109.8
7.	CUDA	900000000	2109.9
8.	CUDA	900000000	2082.9
9.	CUDA	900000000	2109.3
10.	CUDA	900000000	2096.4
11.	CUDA	900000000	2103.6
12.	CUDA	900000000	2085.8
13.	CUDA	900000000	2103.9
14.	CUDA	900000000	2139.9
15.	CUDA	900000000	2110.8
16.	CUDA	900000000	2301.7
17.	CUDA	900000000	2090.0
18.	CUDA	900000000	2099.6
19.	CUDA	900000000	2088.7
20.	CUDA	900000000	2095.3
21.	CUDA	900000000	2084.7
22.	CUDA	900000000	2087.5
23.	CUDA	900000000	2085.0
24.	CUDA	900000000	2089.4
25.	CUDA	900000000	2113.0
26.	CUDA	900000000	2106.1
27.	CUDA	900000000	2116.2
28.	CUDA	900000000	2097.3
29.	CUDA	900000000	2115.6
30.	CUDA	900000000	2163.6
--------ske_lib saxpy------------------------
1.	PolyHok	900000000	1179
2.	PolyHok	900000000	1165
3.	PolyHok	900000000	1120
4.	PolyHok	900000000	2694
5.	PolyHok	900000000	1120
6.	PolyHok	900000000	1111
7.	PolyHok	900000000	1125
8.	PolyHok	900000000	1118
9.	PolyHok	900000000	1182
10.	PolyHok	900000000	1162
11.	PolyHok	900000000	1137
12.	PolyHok	900000000	1123
13.	PolyHok	900000000	1117
14.	PolyHok	900000000	1134
15.	PolyHok	900000000	1146
16.	PolyHok	900000000	1160
17.	PolyHok	900000000	1119
18.	PolyHok	900000000	1127
19.	PolyHok	900000000	1162
20.	PolyHok	900000000	1125
21.	PolyHok	900000000	1119
22.	PolyHok	900000000	1118
23.	PolyHok	900000000	1159
24.	PolyHok	900000000	1116
25.	PolyHok	900000000	1120
26.	PolyHok	900000000	1192
27.	PolyHok	900000000	1116
28.	PolyHok	900000000	1118
29.	PolyHok	900000000	1127
30.	PolyHok	900000000	1143
