--------cuda nearest neighbor------------------------
1.	CUDA	900000000	664.6
2.	CUDA	900000000	664.4
3.	CUDA	900000000	675.6
4.	CUDA	900000000	663.8
5.	CUDA	900000000	712.9
6.	CUDA	900000000	663.0
7.	CUDA	900000000	680.2
8.	CUDA	900000000	669.2
9.	CUDA	900000000	692.9
10.	CUDA	900000000	675.2
11.	CUDA	900000000	717.8
12.	CUDA	900000000	703.6
13.	CUDA	900000000	663.3
14.	CUDA	900000000	672.6
15.	CUDA	900000000	675.8
16.	CUDA	900000000	706.0
17.	CUDA	900000000	673.2
18.	CUDA	900000000	677.0
19.	CUDA	900000000	686.9
20.	CUDA	900000000	699.6
21.	CUDA	900000000	677.8
22.	CUDA	900000000	677.8
23.	CUDA	900000000	705.9
24.	CUDA	900000000	715.2
25.	CUDA	900000000	662.9
26.	CUDA	900000000	678.9
27.	CUDA	900000000	684.1
28.	CUDA	900000000	710.6
29.	CUDA	900000000	697.2
30.	CUDA	900000000	665.5
--------ske_lib nearest neighbor------------------------
1.	PolyHok	900000000	1066
2.	PolyHok	900000000	1056
3.	PolyHok	900000000	1073
4.	PolyHok	900000000	1090
5.	PolyHok	900000000	1055
6.	PolyHok	900000000	1043
7.	PolyHok	900000000	893
8.	PolyHok	900000000	893
9.	PolyHok	900000000	894
10.	PolyHok	900000000	898
11.	PolyHok	900000000	895
12.	PolyHok	900000000	894
13.	PolyHok	900000000	898
14.	PolyHok	900000000	894
15.	PolyHok	900000000	899
16.	PolyHok	900000000	899
17.	PolyHok	900000000	896
18.	PolyHok	900000000	900
19.	PolyHok	900000000	898
20.	PolyHok	900000000	892
21.	PolyHok	900000000	898
22.	PolyHok	900000000	893
23.	PolyHok	900000000	894
24.	PolyHok	900000000	897
25.	PolyHok	900000000	892
26.	PolyHok	900000000	902
27.	PolyHok	900000000	902
28.	PolyHok	900000000	894
29.	PolyHok	900000000	890
30.	PolyHok	900000000	895
--------cuda saxpy------------------------
1.	CUDA	900000000	2102.7
2.	CUDA	900000000	2123.9
3.	CUDA	900000000	2123.8
4.	CUDA	900000000	2105.3
5.	CUDA	900000000	2115.1
6.	CUDA	900000000	2123.5
7.	CUDA	900000000	2122.6
8.	CUDA	900000000	2106.3
9.	CUDA	900000000	2148.5
10.	CUDA	900000000	2098.5
11.	CUDA	900000000	2126.5
12.	CUDA	900000000	2215.8
13.	CUDA	900000000	2121.8
14.	CUDA	900000000	2118.3
15.	CUDA	900000000	2195.8
16.	CUDA	900000000	2119.9
17.	CUDA	900000000	2163.9
18.	CUDA	900000000	2127.6
19.	CUDA	900000000	2181.2
20.	CUDA	900000000	2154.8
21.	CUDA	900000000	2130.0
22.	CUDA	900000000	2136.6
23.	CUDA	900000000	2135.7
24.	CUDA	900000000	2124.1
25.	CUDA	900000000	2128.7
26.	CUDA	900000000	2138.5
27.	CUDA	900000000	2159.2
28.	CUDA	900000000	2135.9
29.	CUDA	900000000	2162.3
30.	CUDA	900000000	2111.3
--------ske_lib saxpy------------------------
